,cell_id,centroid_x,centroid_y,area_m2,area_km2,population,pop_density,road_length_m,road_density_km_per_km2,major_road_length_m,dist_to_major_road_m,retail_count_1km,retail_nearest_dist_m,education_count_1km,education_nearest_dist_m,healthcare_count_1km,healthcare_nearest_dist_m,banking_count_1km,banking_nearest_dist_m,food_beverage_count_1km,food_beverage_nearest_dist_m,entertainment_count_1km,entertainment_nearest_dist_m,competition_score,competition_pressure,amenity_score
count,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0,1802.0
mean,900.5,716010.6107760955,1219764.19739018,250000.0,0.25,876.4939137669435,3505.975655067774,5772.189366533052,23.088757466132208,186.7814614469062,1037.303508954153,1.9317425083240845,1972.6986730781377,2.374028856825749,1304.7542812903612,3.0216426193118755,1448.3952636379934,1.8063263041065483,2040.4045110383333,2.007214206437292,1582.7164409736317,0.9650388457269701,1857.3167111594519,1.9317425083240845,0.13785442772728898,2.1660654827968924
std,520.3369100880698,5927.00273984899,6107.681922688692,0.0,0.0,2125.2679933124705,8501.071973249882,3828.43623302652,15.31374493210608,420.9345641996391,887.1557875549341,6.62556941613473,1378.9163555539376,5.69266087766771,954.8041919692552,6.99822123580071,1101.9298620201455,4.290105080203229,1580.1419191619732,4.720088686673062,1112.8394564702705,2.5850118376131497,1229.628227583947,6.62556941613473,0.7311475817502632,4.282047243737213
min,0.0,704337.4698216007,1207510.8677564396,250000.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5805590599157593,0.0,26.99697243791156,0.0,5.802722420154443,0.0,2.5701856002053356,0.0,11.881655252230829,0.0,11.966110117842709,0.0,31.747099727061762,0.0,0.0,0.0
25%,450.25,711337.4698216007,1215010.8677564396,250000.0,0.25,0.0,0.0,2510.9135765265564,10.043654306106227,0.0,359.1925479088938,0.0,874.7250462441523,0.0,592.6279050982812,0.0,558.8165691179693,0.0,799.4300528823597,0.0,721.5093184296067,0.0,864.1977200360668,0.0,0.0,0.0
50%,900.5,715837.4698216007,1220010.8677564396,250000.0,0.25,0.0,0.0,5446.993120628225,21.7879724825129,0.0,816.345016585034,0.0,1650.0970252517059,0.0,1063.411934838568,0.0,1174.0744389541228,0.0,1635.674253610441,0.0,1343.5637515499702,0.0,1601.876399739278,0.0,0.0,0.45
75%,1350.75,720837.4698216007,1224885.8677564396,250000.0,0.25,515.2738952636719,2061.0955810546875,8785.52799087454,35.14211196349815,0.0,1457.6638896307666,1.0,2864.112055382754,2.0,1766.5199235956763,3.0,2077.6368207956302,1.0,2880.716243355626,2.0,2208.4034426649814,1.0,2678.714513874542,1.0,0.0,2.2874999999999996
max,1801.0,727837.4698216007,1231510.8677564396,250000.0,0.25,19511.509765625,78046.0390625,16408.233032376116,65.63293212950447,3576.2429927488984,5022.5685785287105,78.0,6565.186736634602,53.0,5351.779483644062,65.0,5459.537006607735,37.0,7242.925004353305,41.0,5117.824682431272,25.0,6022.470868991856,78.0,12.744708593160299,35.650000000000006
